t_index	term	df
382	1936	1
383	1937	2
384	1938	3
385	1939	1
386	193bn	1
387	1940	2
388	1940s	4
389	1941	3
390	1942	4
391	1943	2
392	1944	1
393	1945	8
394	1946	4
395	1947	5
396	1948	12
397	1949	3
398	194m	2
399	195	2
400	1950	4
401	1950s	8
402	1951	2
403	1952	4
404	1953	4
405	1954	3
406	1955	3
407	1956	8
408	1957	6
409	1958	3
410	1959	2
411	196	2
412	1960	3
413	1960s	21
414	1961	2
415	1962	3
416	1963	4
417	1964	8
418	1965	8
419	1966	3
420	1967	4
421	1968	5
422	1969	12
423	196m	2
424	1970	15
425	1970s	19
426	1971	9
427	1972	4
428	1973	14
429	1974	11
430	1975	5
431	1976	9
432	1977	7
433	1978	10
434	1979	14
435	197bn	1
436	198	1
437	1980	13
438	1980s	43
439	1981	12
440	1982	14
441	1983	19
442	1984	17
443	1985	18
444	1986	11
445	1987	22
446	1988	9
447	1989	18
448	198m	2
449	1990	12
450	1990s	42
451	1991	18
452	1992	20
453	1993	31
454	1994	49
455	1995	24
456	1996	18
457	1997	69
458	1998	56
459	1999	63
460	19bn	5
461	19m	4
462	19sec	1
463	19th	15
464	1bn	67
465	1m	45
466	1mbps	2
467	1p	2
468	1st	2
469	1xtra	3
470	2	479
471	20	244
472	200	86
473	2000	112
474	2001	160
475	2001alleg	1
476	2001fetch	1
477	2002	141
478	2003	320
479	2004	390
480	2005	301
481	2006	105
482	2007	43
483	2008	38
484	2009	18
485	200bn	4
486	200lr	1
487	200m	39
488	200p	1
489	2010	27
490	2011	8
491	2012	14
492	2013	2
493	2014	2
494	2015	10
495	2018	1
496	2019	1
497	201bn	1
498	2020	4
499	2022	1
500	2025	2
501	203	1
502	2030	1
503	204	1
504	2046	1
505	2048	2
506	204m	1
507	205	3
508	2050	2
509	206	2
510	206bn	3
511	206m	1
512	208m	1
513	20bn	13
514	20c	1
515	20gb	1
516	20m	9
517	20mbps	1
518	20p	1
519	20s	2
520	20th	22
521	21	77
522	210	1
523	2100	2
524	2100gmt	1
525	210bn	1
526	211	2
527	2115	1
528	211bn	2
529	214	1
530	216	2
531	217	1
532	219	1
533	21bn	2
534	21m	7
535	21s	1
536	21st	17
537	22	102
538	220	3
539	2200	3
540	220bn	1
541	220m	3
542	222	2
543	2230gmt	1
544	224	1
545	225	4
546	226	3
547	227	4
548	227bn	1
549	229	2
550	22bn	4
551	22m	6
552	22nd	2
553	22sec	1
554	23	67
555	230	6
556	2300	3
557	230bn	3
558	230m	2
559	231m	2
560	232m	1
561	233	16
562	234	2
563	2340	1
564	234m	1
565	235	1
566	239	1
567	23bn	5
568	23m	2
569	23rd	3
570	23sec	1
571	24	122
572	240	1
573	240m	1
574	242	1
575	242m	1
576	243	1
577	244	1
578	245m	1
579	246	2
580	246bn	1
581	247p	1
582	248	1
583	24bn	3
584	24hour	1
585	24m	9
586	24th	2
587	25	167
588	250	38
589	2500	2
590	250m	6
591	253m	1
592	256mb	2
593	258	3
594	258bn	1
595	259	2
596	259m	1
597	25bn	8
598	25gbps	1
599	25lb	1
600	25m	13
601	25p	3
602	25s	1
603	25th	8
604	25year	1
605	26	72
606	260	3
607	260m	1
608	261	1
609	261bn	1
610	262	2
611	263	1
612	264	2
613	264m	2
614	264th	1
615	265	1
616	265m	2
617	266	1
618	266m	1
619	267	2
620	268	1
621	268bn	1
622	269bn	1
623	26bn	1
624	26m	3
625	26th	1
626	27	96
627	270	5
628	271	1
629	271st	1
630	272	1
631	273	1
632	274	2
633	275	2
634	275m	1
635	276	2
636	277	1
637	277m	1
638	277th	1
639	27bn	14
640	27m	5
641	27th	1
642	28	90
643	280	3
644	280bn	3
645	280m	1
646	281m	2
647	282	2
648	283	1
649	284m	1
650	285m	1
651	287	2
652	2871	1
653	28bn	3
654	28m	1
655	28p	1
656	28th	3
657	29	53
658	290	1
659	290m	1
660	291	1
661	291m	2
662	292	2
663	293	3
664	294	1
665	2940	1
666	2944	1
667	296	1
668	297	1
669	2974	1
670	299	1
671	29a	2
672	29bn	2
673	29m	2
674	2am	1
675	2bn	51
676	2d	3
677	2d3	1
678	2ft	1
679	2g	3
680	2gb	1
681	2k	1
682	2k5	1
683	2kg	1
684	2km	2
685	2kw	1
686	2m	30
687	2mb	2
688	2mbps	3
689	2nd	2
690	2pm	1
691	2s	1
692	3	343
693	30	206
694	300	46
695	3000	6
696	3000m	3
697	3006	1
698	300bn	3
699	300d	1
700	300m	14
701	300p	5
702	301	2
703	3040	1
704	305	3
705	305m	1
706	306	1
707	306m	1
708	308m	1
709	309m	1
710	30am	1
711	30bn	6
712	30ft	1
713	30gb	4
714	30m	10
715	30mg	1
716	30mph	1
717	30s	2
718	30th	1
719	31	71
720	310	3
721	311	2
722	311bn	1
723	312	2
724	313	1
725	314	1
726	318	1
727	3187	1
728	31bn	2
729	31m	1
730	31p	1
731	32	45
732	320	2
733	320kg	1
734	320m	1
735	3218	1
736	322	1
737	3220	1
738	322m	1
739	3230	1
740	324	2
741	325	3
742	325m	2
743	327	1
744	3270	1
745	327m	1
746	3280	1
747	328m	2
748	329	2
749	32bn	2
750	32m	3
751	32nd	1
752	33	29
753	330	1
754	330m	1
755	331bn	2
756	332	1
757	336m	2
758	337	2
759	337m	1
760	339	4
761	339m	1
762	33bn	2
763	33m	1
764	33rd	2
765	34	48
766	340	3
767	340m	1
768	345m	1
769	347m	1
770	348bn	1
771	349	2
772	349m	1
773	34bn	2
774	34th	2
775	35	63
776	350	11
777	3500	1
778	3509	1
779	350m	4
780	3516	1
781	352m	1
782	353	1
783	354	1
784	357	1
785	35bn	22
786	35km	1
787	35m	11
788	35mm	1
789	35th	1
790	36	40
791	360	5
792	360m	1
793	3636	1
794	364	2
795	364m	1
796	365	2
797	3652	1
798	365m	1
799	3666	1
800	3667	1
801	367	2
802	368bn	1
803	36bn	2
804	36m	4
805	36th	4
806	37	30
807	370	1
808	370m	3
809	371m	1
810	372	1
811	374m	3
812	375	1
813	375m	3
814	376m	1
815	377bn	2
816	378	1
817	379m	1
818	37bn	4
819	37cm	1
820	38	31
821	380m	1
822	382m	1
823	384	2
824	385	2
825	386	1
826	387	1
827	387m	1
828	38am	1
829	38bn	1
830	38m	1
831	38mph	1
832	39	31
833	390	1
834	392	1
835	393	1
836	398m	2
837	399	3
838	39bn	1
839	39m	2
840	39sec	1
841	3am	1
842	3ami	2
843	3bn	67
844	3c	2
845	3cm	1
846	3d	19
847	3g	20
848	3gp	2
849	3gsm	8
850	3km	4
851	3m	30
852	3mb	1
853	3rds	1
854	3x	1
855	4	371
856	40	141
857	400	39
858	40052308090	1
859	400m	26
860	400th	1
861	401	1
862	402	1
863	404	4
864	407th	1
865	40bn	1
866	40gb	2
867	40m	18
868	40mbps	1
869	40mph	1
870	40s	3
871	40th	1
872	41	25
873	412bn	3
874	413	1
875	415m	2
876	417	1
877	417m	1
878	418bn	1
879	419	2
880	419m	1
881	41bn	2
882	41m	1
883	42	33
884	420	3
885	420bn	1
886	420m	1
887	422bn	1
888	424m	3
889	425	2
890	425m	1
891	426m	1
892	427bn	3
893	428m	1
894	429m	1
895	42bn	2
896	42in	1
897	42m	4
898	42nd	2
899	43	33
900	430	1
901	431m	1
902	433	1
903	434m	1
904	436	1
905	436m	1
906	439	1
907	43m	4
908	43rd	1
909	44	29
910	440	6
911	443m	1
912	444	3
913	445	1
914	449	1
915	44bn	1
916	44p	1
917	44th	1
918	45	66
919	450	3
920	451m	1
921	455	2
922	456m	3
923	458	3
924	458m	1
925	45bn	6
926	45m	3
927	45pm	1
928	45sec	1
929	45th	1
930	46	23
931	464	2
932	465	1
933	466	1
934	468m	1
935	469	2
936	46m	3
937	46sec	1
938	47	28
939	470m	1
940	472bn	1
941	474	3
942	475m	1
943	479	1
944	479m	1
945	47bn	2
946	47m	2
947	47sec	1
948	48	41
949	480	2
950	480m	1
951	481	2
952	483	1
953	484bn	1
954	4850	1
955	486	1
956	487	1
957	488	1
958	48bn	3
959	48m	3
960	48th	1
961	49	21
962	492m	1
963	495m	1
964	496	1
965	497bn	2
966	499	4
967	499m	1
968	49m	2
969	4bn	60
970	4cast	3
971	4children	1
972	4cm	2
973	4gb	2
974	4ghz	1
975	4in	2
976	4km	3
977	4m	43
978	4mbps	2
979	4p	2
980	4pm	1
981	4th	2
982	4x100m	11
983	4x200m	1
984	4x400m	1
985	5	386
986	50	173
987	500	74
988	5000	3
989	5000m	1
990	500bn	1
991	500m	19
992	505	1
993	506m	1
994	507	1
995	508	1
996	508m	1
997	50bn	3
998	50gb	2
999	50k	1
1000	50m	18
1001	50mg	1
1002	50p	1
1003	50pc	1
1004	50s	2
1005	50th	11
1006	51	22
1007	510	1
1008	510m	1
1009	512	2
1010	512k	1
1011	512kbps	4
1012	512m	1
1013	512mb	4
1014	514	1
1015	514m	1
1016	515m	1
1017	51bn	1
1018	51cm	1
1019	51sec	1
1020	51st	1
1021	52	28
1022	520	1
1023	520m	1
1024	521	1
1025	522	1
1026	525	1
1027	527	1
1028	529	1
1029	52m	8
1030	52nd	1
1031	52s	1
1032	53	31
1033	530	4
1034	530m	1
1035	532m	2
1036	533p	1
1037	535	3
1038	537bn	1
1039	537m	1
1040	538	1
1041	53bn	2
1042	53m	3
1043	53p	2
1044	54	23
1045	540bn	1
1046	540m	1
1047	542	2
1048	544	1
1049	546	1
1050	546m	2
1051	548m	1
1052	548p	1
1053	54bn	5
1054	54m	2
1055	54th	1
1056	55	30
1057	550	7
1058	550m	4
1059	555	1
1060	556	1
1061	558m	2
1062	55bn	2
1063	55m	1
1064	55s	2
1065	55th	1
1066	56	28
1067	560	2
1068	560m	1
1069	563	1
1070	568m	1
1071	569	1
1072	569m	1
1073	56bn	1
1074	56m	4
1075	57	22
1076	570	2
1077	572	2
1078	575	3
1079	576m	1
1080	578m	1
1081	57bn	1
1082	58	14
1083	581m	2
1084	582	1
1085	583p	1
1086	584m	1
1087	587m	1
1088	58bn	2
1089	59	15
1090	590	2
1091	591	1
1092	593	1
1093	595	1
1094	596	1
1095	599	3
1096	59m	1
1097	59th	2
1098	5am	1
1099	5bn	78
1100	5ft	1
1101	5g	3
1102	5gb	5
1103	5ive	2
1104	5k	1
1105	5km	2
1106	5m	63
1107	5p	3
1108	5th	1
1109	6	287
1110	60	86
1111	600	33
1112	6000	1
1113	600m	6
1114	601	1
1115	603	2
1116	605	1
1117	607	2
1118	60bn	6
1119	60gb	2
1120	60m	23
1121	60p	1
1122	60s	2
1123	60sec	1
1124	60th	4
1125	61	11
1126	610	1
1127	610m	1
1128	611	1
1129	613	1
1130	618m	1
1131	61km	1
1132	61m	1
1133	61st	1
1134	62	24
1135	6230	1
1136	6230i	1
1137	625	2
1138	62m	1
1139	62sec	1
1140	63	15
1141	630	2
1142	630m	2
1143	635	1
1144	639m	1
1145	63m	1
1146	63rd	1
1147	63sec	2
1148	64	23
1149	640m	1
1150	642	1
1151	644m	1
1152	645	2
1153	646m	1
1154	648	1
1155	648m	2
1156	64m	2
1157	64sec	1
1158	65	34
1159	650	2
1160	650m	1
1161	659	4
1162	65bn	3
1163	65m	1
1164	65s	6
1165	65th	1
1166	66	14
1167	660	1
1168	6600	2
1169	660m	2
1170	661	1
1171	666	1
1172	6661	1
1173	667	1
1174	66bn	1
1175	66m	3
1176	66sec	1
1177	67	16
1178	6709	1
1179	671	1
1180	674	2
1181	676m	1
1182	677	2
1183	67m	1
1184	67th	2
1185	68	15
1186	680	2
1187	680m	1
1188	684bn	1
1189	686m	1
1190	68m	5
1191	68second	1
1192	69	14
1193	690	2
1194	690m	1
1195	691m	1
1196	692	1
1197	697m	1
1198	69bn	1
1199	69th	1
1200	6bn	50
1201	6ft	3
1202	6gb	2
1203	6ghz	1
1204	6in	1
1205	6km	5
1206	6m	26
1207	6mbps	2
1208	6pm	2
1209	6x4in	1
1210	7	236
1211	70	62
1212	700	24
1213	700m	3
1214	701m	1
1215	705m	1
1216	708	1
1217	70m	5
1218	70p	5
1219	70s	7
1220	70th	6
1221	71	14
1222	713	1
1223	717	3
1224	717m	1
1225	719m	1
1226	72	18
1227	720	1
1228	720m	2
1229	722m	1
1230	724	1
1231	725m	1
1232	72bn	1
1233	72m	1
1234	73	14
1235	730	1
1236	732m	1
1237	733	2
1238	737	2
1239	738	1
1240	73m	3
1241	74	16
1242	740	2
1243	745	2
1244	745bn	1
1245	747	1
1246	748	1
1247	74m	4
1248	74th	1
1249	75	47
1250	750	9
1251	750m	3
1252	751	2
1253	755	1
1254	75bn	8
1255	75m	7
1256	75p	3
1257	75s	1
1258	76	14
1259	7610	1
1260	761m	1
1261	764	1
1262	767	1
1263	768m	2
1264	76m	4
1265	77	17
1266	771	1
1267	7710	1
1268	772	1
1269	775	2
1270	775m	1
1271	776	1
1272	777	1
1273	778	1
1274	779m	1
1275	77bn	1
1276	77m	4
1277	77th	3
1278	78	9
1279	780	1
1280	784m	1
1281	785	1
1282	785m	1
1283	787	2
1284	788	1
1285	789m	1
1286	78bn	1
1287	79	10
1288	790m	1
1289	793	1
1290	793m	1
1291	796	2
1292	797p	1
1293	798	1
1294	798m	2
1295	799	2
1296	79m	2
1297	79p	1
1298	79th	1
1299	7bn	38
1300	7e7	1
1301	7m	38
1302	7p	1
1303	7x5in	1
1304	8	217
1305	80	71
1306	800	33
1307	800bn	1
1308	800m	38
1309	801	1
1310	801m	1
1311	802	1
1312	803	1
1313	805	2
1314	808	1
1315	808m	1
1316	80bn	3
1317	80gb	1
1318	80m	10
1319	80mg	1
1320	80p	1
1321	80s	8
1322	80th	1
1323	81	10
1324	813	1
1325	814	1
1326	815	1
1327	817	2
1328	81st	1
1329	82	13
1330	820	1
1331	825	1
1332	82bn	1
1333	83	18
1334	830bn	1
1335	831	1
1336	833	2
1337	836m	1
1338	838m	1
1339	838th	1
1340	83mph	1
1341	84	15
1342	840	2
1343	846m	1
1344	847	1
1345	849	1
1346	84th	3
1347	85	29
1348	850	2
1349	850bn	1
1350	850m	4
1351	85130	1
1352	855bn	1
1353	856	2
1354	857m	3
1355	85bn	1
1356	85m	3
1357	86	13
1358	861m	1
1359	865	1
1360	86bn	1
1361	86m	3
1362	86th	2
1363	87	21
1364	870	2
1365	873p	1
1366	874	1
1367	874m	1
1368	875	1
1369	879	1
1370	87bn	2
1371	87m	2
1372	87th	3
1373	88	5
1374	881	1
1375	881m	1
1376	8832	1
1377	885	1
1378	885m	1
1379	88bn	1
1380	88m	2
1381	88th	1
1382	89	8
1383	8923	1
1384	893	1
1385	895	2
1386	89bn	3
1387	89m	2
1388	89sec	1
1389	89th	1
1390	8am	3
1391	8bn	52
1392	8gb	1
1393	8ghz	1
1394	8km	1
1395	8m	31
1396	8mbps	1
1397	8x10in	1
1398	9	186
1399	90	56
1400	900	10
1401	900m	5
1402	901m	1
1403	902	2
1404	906	1
1405	907	2
1406	9094	1
1407	90m	3
1408	90s	10
1409	90th	1
1410	91	6
1411	910m	1
1412	911	1
1413	912km	1
1414	914	1
1415	915	1
1416	91kg	1
1417	91m	6
1418	91st	1
1419	92	14
1420	920	6
1421	922	1
1422	924	1
1423	925p	1
1424	9276	1
1425	929	1
1426	92p	1
1427	93	11
1428	931m	1
1429	932	1
1430	933m	1
1431	935	1
1432	939	1
1433	93rd	1
1434	94	11
1435	940	2
1436	943	1
1437	947m	2
1438	94m	1
1439	95	23
1440	950	2
1441	950m	2
1442	950p	1
1443	952m	1
1444	953	1
1445	957	1
1446	95bn	1
1447	95m	2
1448	95th	1
1449	96	8
1450	960m	3
1451	961	2
1452	962	1
1453	965	1
1454	966m	1
1455	96bn	5
1456	96m	1
1457	97	8
1458	971	1
1459	975	1
1460	97bn	2
1461	97m	1
1462	97p	1
1463	98	13
1464	980m	1
1465	981	1
1466	984m	2
1467	98bn	1
1468	98m	3
1469	98th	3
1470	99	21
1471	997	2
1472	998	1
1473	999	2
1474	999th	3
1475	99bn	2
1476	9bn	24
1477	9in	1
1478	9kg	1
1479	9km	1
1480	9m	21
1481	9mbps	2
1482	9p	1
1483	a300	1
1484	a320	3
1485	a321	1
1486	a350	1
1487	a380	2
1488	a4	2
1489	a400m	1
1490	aa	1
1491	aaa	15
1492	aac	2
1493	aadc	1
1494	aaliyah	1
1495	aaltra	1
1496	aamir	1
1497	aan	1
1498	aara	1
1499	aarhus	1
1500	aaron	5
1501	abacus	2
1502	abandon	30
1503	abat	4
1504	abba	8
1505	abbasi	4
1506	abbey	2
1507	abbot	1
1508	abbott	9
1509	abbrevi	1
1510	abc	11
1511	abd	1
1512	abdellatif	2
1513	abdic	2
1514	abdomen	1
1515	abdomin	2
1516	abduct	1
1517	abdul	1
1518	abdullah	2
1519	abdullatif	1
1520	abeb	1
1521	abensur	1
1522	aberavon	1
1523	aberdeen	4
1524	aberr	1
1525	aberystwyth	1
1526	abet	1
1527	abey	1
1528	abeyi	4
1529	abhorr	2
1530	abi	1
1531	abid	13
1532	abigail	1
1533	abil	97
1534	abish	1
1535	abiyot	1
1536	abl	257
1537	abn	10
1538	abnorm	2
1539	abolish	16
1540	abolit	1
1541	abort	9
1542	abortionist	6
1543	aboutrough	1
1544	abov	74
1545	abraham	3
1546	abramovich	4
1547	abroad	41
1548	abrupt	3
1549	absa	2
1550	absenc	28
1551	absent	10
1552	absente	2
1553	absolut	73
1554	absorb	11
1555	abstain	1
1556	abstent	1
1557	abstract	1
1558	absurd	4
1559	abtahi	1
1560	abu	1
1561	abund	3
1562	aburiz	2
1563	abus	61
1564	abut	1
1565	abuzz	1
1566	abysm	2
1567	ac	13
1568	academ	14
1569	academi	54
1570	academia	1
1571	acapulco	1
1572	acasuso	1
1573	acc	1
1574	acceler	22
1575	accent	1
1576	accept	143
1577	access	173
1578	accessori	4
1579	accid	23
1580	accident	8
1581	acclaim	27
1582	acclim	1
1583	acclimatis	1
1584	accolad	11
1585	accommod	12
1586	accomod	2
1587	accompani	25
1588	accomplic	3
1589	accomplish	11
1590	accord	338
1591	accosi	1
1592	account	181
1593	accoust	1
1594	accra	1
1595	accredit	1
1596	accret	1
1597	accru	1
1598	accumul	9
1599	accur	26
1600	accura	1
1601	accuraci	8
1602	accus	159
1603	accustom	4
1604	ace	4
1605	aceh	7
1606	achiev	138
1607	achik	1
1608	achill	6
1609	achtung	1
1610	acid	1
1611	ackerman	1
1612	acknowledg	42
1613	acn	1
1614	acoust	2
1615	acpo	2
1616	acquaint	1
1617	acquiesc	1
1618	acquir	26
1619	acquisit	25
1620	acquit	3
1621	acquitt	2
1622	acr	5
1623	acrimoni	4
1624	acrobat	3
1625	act	198
1626	action	260
1627	actionaid	1
1628	activ	113
1629	activcard	1
1630	activis	1
1631	activison	2
1632	activist	31
1633	actor	115
1634	actress	77
1635	actual	99
1636	acupunctur	1
1637	acut	1
1638	ad	653
1639	adag	2
1640	adair	2
1641	adam	34
1642	adamind	2
1643	adamu	1
1644	adapt	57
1645	adaptor	4
1646	adarsh	1
1647	adb	1
1648	add	112
1649	addact	1
1650	addick	2
1651	addict	10
1652	addink	1
1653	addison	1
1654	addit	68
1655	address	83
1656	adductor	1
1657	ade	1
1658	adelaid	5
1659	adept	2
1660	adequ	17
1661	ader	1
1662	adera	1
1663	adher	7
1664	adhi	1
1665	adict	1
1666	adida	2
1667	adjourn	1
1668	adjud	1
1669	adjudg	2
1670	adjust	32
1671	adler	1
1672	administ	5
1673	administr	66
1674	admir	14
1675	admiss	20
1676	admit	151
1677	admitt	1
1678	admonish	1
1679	adnan	1
1680	ado	1
1681	adolesc	3
1682	adolf	3
1683	adopt	58
1684	ador	2
1685	adorn	1
1686	adrenalin	1
1687	adrian	11
1688	adriano	4
1689	adriat	2
1690	adrien	1
1691	adrift	1
1692	adroit	1
1693	adsens	1
1694	adsl	7
1695	adsl2	1
1696	adss	1
1697	adul	1
1698	adult	46
1699	adulteri	1
1700	adulthood	1
1701	advanc	77
1702	advanta	2
1703	advantag	71
1704	advent	3
1705	adventur	22
1706	advers	9
1707	advert	28
1708	advertis	45
1709	advic	38
1710	advis	58
1711	advisor	19
1712	advisori	11
1713	advoc	20
1714	advocaci	1
1715	adwar	2
1716	ae	2
1717	aefa	1
1718	aeg	1
1719	aer	1
1720	aero	3
1721	aeronaut	1
1722	aeroplan	1
1723	aerosmith	2
1724	aerospac	6
1725	aesthet	7
1726	af	1
1727	afan	1
1728	affabl	1
1729	affair	102
1730	affect	125
1731	affection	1
1732	afficiando	1
1733	affili	7
1734	affirm	3
1735	afflict	5
1736	affluent	3
1737	afford	51
1738	afghanistan	15
1739	afi	1
1740	afield	1
1741	afloat	2
1742	afoot	2
1743	afp	3
1744	afraid	20
1745	africa	98
1746	african	50
1747	afro	1
1748	aftenposten	1
1749	afterlif	2
1750	aftermath	9
1751	afternoon	23
1752	afterward	27
1753	afteward	1
1754	afzal	1
1755	ag	3
1756	agassi	12
1757	agatha	1
1758	age	147
1759	ageism	3
1760	agen	1
1761	agenc	126
1762	agenda	45
1763	agent	42
1764	aggarw	1
1765	aggrav	8
1766	aggreg	5
1767	aggress	31
1768	aggressor	1
1769	aggriev	2
1770	agil	2
1771	agio	1
1772	agit	2
1773	agm	3
1774	agn	1
1775	agnelli	4
1776	agnetha	1
1777	agnost	2
1778	ago	200
1779	agoa	1
1780	agoni	1
1781	agonis	4
1782	agoy	1
1783	agrarian	1
1784	agre	207
1785	agreeabl	1
1786	agreement	93
1787	agricultur	26
1788	agrochem	1
1789	agroflora	2
1790	agua	1
1791	aguilera	3
1792	agustin	1
1793	agyemang	1
1794	ah	3
1795	ahead	229
1796	ahern	2
1797	ahhhh	1
1798	ahm	4
1799	ahold	1
1800	ai	7
1801	aichi	1
1802	aid	104
1803	aidan	2
1804	aiden	2
1805	aig	2
1806	ail	3
1807	aili	1
1808	aim	203
1809	aimless	1
1810	ain	2
1811	ainsworth	1
1812	ainum	1
1813	aiport	1
1814	air	89
1815	airasia	1
1816	airbrush	1
1817	airbus	12
1818	aircraft	16
1819	airi	1
1820	airlin	43
1821	airplan	5
1822	airplay	3
1823	airport	23
1824	airtim	1
1825	airway	10
1826	aishwariya	2
1827	aishwarya	2
1828	aisl	1
1829	aitken	3
1830	aiyar	2
1831	aiyegbeni	1
1832	aizlewood	1
1833	aj	1
1834	ajar	1
1835	ajax	2
1836	ak	4
1837	aka	6
1838	akaev	1
1839	akamai	2
1840	akhmetov	2
1841	akin	6
1842	akira	2
1843	akon	1
1844	akroyd	1
1845	aksoy	1
1846	al	20
1847	alabama	3
1848	aladdin	1
1849	alain	5
1850	alamo	2
1851	alan	95
1852	alarm	19
1853	alasdair	1
1854	alastair	16
1855	albacet	1
